Date,16/03/2021,15/03/2021
amat,5.0,25.0
gene,7.0,40.0
fix,16.0,22.0
race,11.0,50.0
psec,6.0,6.0
de,6.0,6.0
bmy,4.0,14.0
met,14.0,55.0
nba,4.0,12.0
esq,4.0,12.0
rio,4.0,12.0
atos,4.0,12.0
era,8.0,18.0
fcf,7.0,14.0
coty,6.0,
igic,4.0,
dg,6.0,
nke,6.0,6.0
fdx,11.0,36.0
iq,2.0,39.0
lyft,2.0,36.0
lmnd,3.0,7.0
trit,2.0,3.0
yelp,2.0,4.0
arcc,2.0,6.0
lulu,2.0,6.0
atvi,2.0,19.0
dash,4.0,37.0
sonn,2.0,6.0
sens,3.0,15.0
hsto,2.0,6.0
csiq,5.0,
fslr,4.0,27.0
freq,4.0,
bolt,5.0,
cnq,4.0,
acb,4.0,
cbd,4.0,
asrt,3.0,20.0
mu,4.0,
intc,5.0,
brk.b,5.0,
csv,6.0,
msci,8.0,
cx,3.0,3.0
lrcx,4.0,9.0
leg,2.0,178.0
advm,2.0,16.0
alvr,2.0,16.0
cmt,2.0,16.0
cogt,2.0,16.0
apr,2.0,11.0
wfc,2.0,17.0
kmph,2.0,22.0
umc,2.0,11.0
srpt,2.0,9.0
sldb,2.0,3.0
ruby,6.0,3.0
arav,2.0,3.0
lptx,2.0,3.0
bbio,2.0,3.0
rytm,2.0,3.0
sprb,2.0,3.0
sbbp,2.0,3.0
alt,2.0,3.0
sjt,2.0,3.0
asa,2.0,3.0
ag,3.0,9.0
carr,2.0,3.0
wk,2.0,5.0
hmny,2.0,3.0
ice,3.0,4.0
ttcf,2.0,4.0
ui,2.0,5.0
dxyn,2.0,4.0
hook,6.0,26.0
mrk,2.0,7.0
tear,2.0,20.0
nov,3.0,16.0
quad,2.0,7.0
dte,2.0,118.0
mos,2.0,6.0
adbe,2.0,6.0
mrna,3.0,12.0
et,4.0,13.0
ea,2.0,3.0
ue,2.0,3.0
lego,2.0,3.0
mcd,2.0,6.0
rail,3.0,6.0
six,31.0,44.0
j,9.0,46.0
luv,5.0,7.0
alk,2.0,6.0
edu,2.0,6.0
c,7.0,35.0
ups,5.0,19.0
bhp,2.0,6.0
inn,2.0,6.0
peg,4.0,6.0
gd,2.0,9.0
stla,2.0,6.0
lmt,2.0,6.0
air,10.0,24.0
cto,4.0,18.0
gl,2.0,12.0
nine,2.0,8.0
arlo,2.0,6.0
tx,2.0,11.0
jd,2.0,24.0
gnog,2.0,14.0
twtr,2.0,2.0
mo,3.0,9.0
dan,15.0,26.0
cron,3.0,12.0
nav,2.0,
sqft,1.0,
y,4.0,9.0
apex,8.0,26.0
roku,24.0,38.0
rng,10.0,
asx,15.0,6.0
ko,9.0,
tdoc,7.0,
taco,7.0,
crsr,13.0,
pfe,7.0,27.0
dgx,6.0,
amkr,6.0,
ibkr,14.0,53.0
dit,5.0,
f,9.0,41.0
wmt,4.0,35.0
dish,4.0,
ulta,4.0,76.0
wifi,4.0,
nnox,4.0,
agr,4.0,
d,4.0,3.0
domo,3.0,
t,3.0,8.0
mgni,3.0,6.0
poww,3.0,
lumn,3.0,6.0
dbtx,3.0,
mtor,3.0,
chgcy,3.0,
halo,3.0,
fang,3.0,
ucl,3.0,
sim,3.0,
sabr,3.0,22.0
regn,2.0,2.0
dbx,2.0,2.0
pll,2.0,
crmd,2.0,
mesa,2.0,
klac,2.0,
tops,2.0,
ntdoy,2.0,
clne,2.0,8.0
fthm,2.0,
iipr,2.0,
nvda,2.0,31.0
ajrd,2.0,4.0
cara,2.0,
mlm,2.0,3.0
enph,2.0,
auy,2.0,2.0
san,4.0,18.0
syk,2.0,2.0
trvn,2.0,2.0
grwg,2.0,
cake,3.0,
ar,2.0,
qs,2.0,
ttm,2.0,
snow,2.0,8.0
gig,2.0,
lstr,2.0,
lpl,2.0,
wb,2.0,
calm,4.0,6.0
jbht,2.0,
k,3.0,6.0
pbr,2.0,
bc,5.0,26.0
nat,2.0,
ltm,2.0,
tmus,1.0,1.0
lizi,1.0,1.0
gps,1.0,1.0
abcl,1.0,
lly,1.0,
xrf,1.0,
sngx,1.0,
acad,1.0,
vod,1.0,
fprx,1.0,12.0
wkhs,7.0,
gs,1.0,
niu,1.0,
amrs,1.0,
hyln,1.0,
lite,1.0,1.0
hd,1.0,1.0
cuk,1.0,1.0
nclh,1.0,1.0
crsp,1.0,1.0
beam,1.0,1.0
hubs,1.0,2.0
bio,1.0,1.0
etn,1.0,1.0
hhc,1.0,1.0
arr,1.0,1.0
sach,1.0,1.0
nvax,1.0,12.0
bpy,1.0,
imax,1.0,
axu,1.0,
cvna,1.0,3.0
itri,1.0,
mrsn,1.0,
mtch,1.0,
gray,1.0,
golf,1.0,
sa,1.0,
un,1.0,
abc,1.0,10.0
fpi,1.0,
kof,1.0,
ins,1.0,12.0
unit,1.0,3.0
nk,1.0,
clf,1.0,
bhc,1.0,
kim,1.0,
viaca,1.0,
cent,1.0,20.0
culp,1.0,
dell,1.0,7.0
lake,1.0,6.0
ibm,1.0,
nova,1.0,
spce,10.0,35.0
h,1.0,
g,1.0,2.0
kos,1.0,
twlo,3.0,
aeye,1.0,
cfac,1.0,
vldr,1.0,
crc,1.0,
fcpt,1.0,
lpro,1.0,
mxim,1.0,
nyc,1.0,7.0
ipoe,1.0,9.0
psth,1.0,6.0
s,1.0,
pnm,1.0,
zm,1.0,
tds,1.0,
paas,1.0,
htoo,1.0,
vslr,1.0,
ps,1.0,6.0
nes,1.0,
hbi,1.0,
hone,1.0,
smp,1.0,
ual,2.0,
esp,1.0,3.0
canf,1.0,
cree,1.0,
entg,1.0,
glpi,1.0,
es,1.0,12.0
rave,1.0,
gril,1.0,
aht,1.0,3.0
bwl.a,1.0,
schw,1.0,
sft,1.0,1.0
cvx,1.0,
o,1.0,6.0
med,1.0,
spg,1.0,
dx,1.0,
mro,1.0,8.0
int,1.0,
rcl,1.0,
ttd,1.0,
lgf.a,1.0,
arct,1.0,
auph,1.0,
dy,1.0,
jazz,1.0,
wat,1.0,
cone,1.0,1.0
sage,2.0,
town,4.0,
msm,2.0,5.0
fds,1.0,
slam,2.0,
sglb,2.0,
nvta,1.0,
cvs,1.0,12.0
nndm,1.0,
isrg,1.0,
apph,1.0,
sklz,1.0,4.0
prch,1.0,
ken,3.0,
rev,11.0,
skt,4.0,6.0
root,4.0,2.0
noc,2.0,
exp,1.0,125.0
cuz,1.0,1.0
acer,2.0,
osk,2.0,
bam,1.0,
lmao,4.0,8.0
arc,1.0,
soft,7.0,6.0
hpe,2.0,
sup,2.0,9.0
wire,4.0,7.0
xl,2.0,8.0
cmd,2.0,2.0
pow,2.0,28.0
wen,2.0,6.0
clov,2.0,19.0
jcom,2.0,7.0
aug,2.0,5.0
si,2.0,5.0
gm,2.0,39.0
watt,1.0,4.0
atms,1.0,4.0
ip,2.0,
tat,1.0,
pic,1.0,9.0
zen,1.0,2.0
bro,1.0,2.0
mic,1.0,2.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
.0,0.0,0.0
