Date,14/03 16:38,14/03 16:36,14/03 16:35,14/03 16:33
son,11.0,11.0,,
box,10.0,10.0,,
nok,42.0,42.0,,
tlry,60.0,60.0,,
bngo,21.0,21.0,,
mtn,18.0,18.0,,
dell,6.0,6.0,,
mms,16.0,16.0,,
cron,12.0,12.0,,
fslr,27.0,27.0,,
unfi,9.0,9.0,,
es,12.0,12.0,,
xm,9.0,9.0,,
wix,2.0,2.0,,
sq,35.0,35.0,,
kodk,10.0,10.0,,
ccl,14.0,14.0,,
xl,8.0,8.0,,
mcfe,8.0,8.0,,
asx,6.0,6.0,,
wdc,6.0,6.0,,
blnk,6.0,6.0,,
xpel,6.0,6.0,,
gogo,8.0,8.0,,
watt,4.0,4.0,,
atms,4.0,4.0,,
amat,13.0,13.0,,
aosl,10.0,10.0,,
nflx,14.0,14.0,,
mtg,7.0,7.0,,
futu,8.0,8.0,,
dow,30.0,30.0,,
hr,6.0,6.0,,
agtc,6.0,6.0,,
rhe,6.0,6.0,,
otrk,6.0,6.0,,
gl,9.0,9.0,,
o,6.0,6.0,,
ag,6.0,6.0,,
k,6.0,6.0,,
lazy,13.0,13.0,,
skt,6.0,6.0,,
reg,4.0,4.0,,
t,6.0,6.0,,
velo,1.0,1.0,,
teva,5.0,5.0,,
sfix,4.0,4.0,,
wbs,4.0,4.0,,
cvna,3.0,3.0,,
adv,3.0,3.0,,
ptr,3.0,3.0,,
tour,3.0,3.0,,
khc,3.0,3.0,,
clubq,3.0,3.0,,
docu,3.0,3.0,,
lc,3.0,3.0,,
d,3.0,3.0,,
aht,3.0,3.0,,
upwk,2.0,2.0,,
wk,2.0,2.0,,
smsi,5.0,5.0,,
llnw,5.0,5.0,,
fork,5.0,5.0,,
pulm,5.0,5.0,,
acic,5.0,5.0,,
fubo,5.0,5.0,,
bsm,4.0,4.0,,
mr,4.0,4.0,,
ajrd,4.0,4.0,,
whd,4.0,4.0,,
cmp,4.0,4.0,,
ce,4.0,4.0,,
u,17.0,17.0,,
pt,11.0,11.0,,
ava,3.0,3.0,,
sklz,4.0,4.0,,
seel,7.0,7.0,,
cal,3.0,3.0,,
ears,3.0,3.0,,
plxp,3.0,3.0,,
ancn,3.0,3.0,,
dm,3.0,3.0,,
thcb,3.0,3.0,,
api,15.0,15.0,,
aim,19.0,19.0,,
goog,4.0,4.0,,
sd,3.0,3.0,,
el,2.0,2.0,,
pays,6.0,6.0,,
lng,33.0,33.0,,
tx,8.0,8.0,,
lake,6.0,6.0,,
dis,9.0,9.0,,
aug,3.0,3.0,,
ziop,2.0,2.0,,
msm,5.0,5.0,,
rc,1.0,1.0,,
enic,2.0,2.0,,
enia,2.0,2.0,,
fnko,5.0,5.0,,
ice,1.0,1.0,,
bynd,21.0,21.0,,
ttcf,1.0,1.0,,
ui,2.0,2.0,,
root,2.0,2.0,,
ship,24.0,24.0,,
jp,6.0,6.0,,
pv,2.0,2.0,,
seas,11.0,11.0,,
yelp,1.0,1.0,,
r,1.0,1.0,,
silk,1.0,1.0,,
wu,1.0,1.0,,
dxyn,1.0,1.0,,
sam,5.0,5.0,,
si,3.0,3.0,,
cone,1.0,1.0,,
dare,2.0,2.0,,
fat,1.0,1.0,,
sft,1.0,1.0,,
door,6.0,6.0,,
hubs,2.0,2.0,,
biol,18.0,18.0,,
xela,12.0,12.0,,
rad,10.0,10.0,,
pte,5.0,5.0,,
gsat,6.0,6.0,,
ping,4.0,4.0,,
hook,2.0,2.0,,
ipod,1.0,1.0,,
etsy,27.0,27.0,,
ta,24.0,24.0,,
ares,12.0,12.0,,
veru,12.0,12.0,,
pins,7.0,7.0,,
gene,6.0,6.0,,
mgm,9.0,9.0,,
vwagy,7.0,7.0,,
tgb,7.0,7.0,,
gtt,9.0,9.0,,
dal,21.0,21.0,,
co,13.0,13.0,,
st,10.0,10.0,,
eth,3.0,3.0,,
asml,6.0,6.0,,
qdel,7.0,7.0,,
ach,6.0,6.0,,
pacb,9.0,9.0,,
trch,8.0,8.0,,
ivr,6.0,6.0,,
regn,2.0,2.0,,
dbx,2.0,2.0,,
bmy,8.0,8.0,,
iii,8.0,8.0,,
nba,6.0,6.0,,
esq,6.0,6.0,,
dan,20.0,20.0,,
luv,4.0,4.0,,
rio,6.0,6.0,,
atos,6.0,6.0,,
fcf,6.0,6.0,,
self,3.0,3.0,,
auy,2.0,2.0,,
syk,2.0,2.0,,
trvn,2.0,2.0,,
qfin,7.0,7.0,,
arcc,3.0,3.0,,
lulu,3.0,3.0,,
sonn,3.0,3.0,,
hsto,3.0,3.0,,
tmus,1.0,1.0,,
