Date,03/09/2021 16:00:58
sq,2
turn,2
leap,2
xom,2
info,1
smsi,1
llnw,1
sndl,1
aapl,1
nok,1
tsla,1
net,1
uwmc,1
gme,1
plus,1
leg,1
rkt,1
rbc,1

