Date,03/16/2021 11:02:27
cae,9
leap,7
sndl,6
tsla,5
aapl,4
mvis,4
cc,4
dd,4
mms,3
uk,3
bb,3
gogo,3
xom,3
plus,3
amd,3
wmt,2
rblx,2
shop,2
sp,2
ibkr,2
rcl,2
ccs,2
edit,2
es,2
gme,2
ride,2
net,2
momo,2
bk,2
td,1
trip,1
c,1
fix,1
six,1
flux,1
snap,1
wow,1
cf,1
ps,1
info,1
pypl,1
land,1
u,1
dnn,1
k,1
acc,1
leg,1
r,1
oi,1
bngo,1
fast,1
imo,1
crsr,1
onto,1
tho,1
aal,1

